,state,bh_level,2017,2018,2019,2021
0,ca,high,12.214150943396227,12.248913043478261,12.483584337349399,11.456222547584188
1,ca,low,3.629113924050633,4.629487179487179,4.518666666666667,4.005963302752293
2,ca,mid,7.101030927835051,7.128664072632944,7.6030263157894735,6.525401069518717
3,il,high,6.917241379310345,6.648863636363637,10.377272727272727,4.937569060773481
4,il,low,1.2480582524271846,1.2907090464547677,3.45935960591133,3.11575
5,il,mid,1.4418032786885246,1.4666666666666668,4.079365079365079,2.734645669291339
6,nyc,high,10.143243243243242,9.918478260869565,10.192,6.770053475935829
7,nyc,low,3.7954939341421143,3.840909090909091,3.9982425307557117,3.517117117117117
8,nyc,mid,5.751131221719457,5.684210526315789,5.803571428571429,3.694560669456067
9,tx,high,0.010869565217391304,0.010526315789473684,0.02040816326530612,0.11827956989247312
10,tx,low,0.0,0.0,0.0,0.032
11,tx,mid,0.0,0.0,0.0,0.2565789473684211
