,state,h_level,Year,Net Change from Prev Year,Net Change from Avg Year
0,ca,high,2015,,-2.110241030956324
9,ca,high,2016,2.5505497096707614,0.44030867871443746
18,ca,high,2017,-0.4437539400963999,-0.003445261381962439
27,ca,high,2018,-0.21835205538494407,-0.2217973167669065
36,ca,high,2019,1.6333832951945126,1.4115859784276061
45,ca,high,2021,-0.927997026464471,0.4835889519631351
1,ca,low,2015,,-3.445485018781092
10,ca,low,2016,3.8966195146201485,0.4511344958390566
19,ca,low,2017,-0.15068415393464107,0.30045034190441555
28,ca,low,2018,-0.25512306214844216,0.04532727975597339
37,ca,low,2019,0.7231873973420946,0.768514677098068
46,ca,low,2021,1.111543547085482,1.88005822418355
2,ca,mid,2015,,-2.5928441080403175
11,ca,mid,2016,2.853486252468482,0.26064214442816436
20,ca,mid,2017,-0.4928663793103496,-0.23222423488218524
29,ca,mid,2018,-0.21052087162708588,-0.4427451065092711
38,ca,mid,2019,0.6322019061098416,0.1894567996005705
47,ca,mid,2021,2.6282577058024614,2.817714505403032
3,il,high,2015,,
12,il,high,2016,,
21,il,high,2017,,0.9772933210436783
30,il,high,2018,2.2365243902439005,3.2138177112875788
39,il,high,2019,-0.9297220646625064,2.2840956466250724
48,il,high,2021,-8.759302325581396,-6.475206678956324
4,il,low,2015,,
13,il,low,2016,,
22,il,low,2017,,3.649341849024669
31,il,low,2018,-2.4177294115933172,1.2316124374313517
40,il,low,2019,-1.072250329146879,0.15936210828447273
49,il,low,2021,-5.199678503024959,-5.040316394740486
5,il,mid,2015,,
14,il,mid,2016,,
23,il,mid,2017,,1.916050465983222
32,il,mid,2018,-0.8144144144144114,1.1016360515688106
41,il,mid,2019,0.6422413793103452,1.7438774308791558
50,il,mid,2021,-6.505441379310344,-4.7615639484311885
6,tx,high,2015,,-6.270295062212611
15,tx,high,2016,5.091103493169612,-1.1791915690429988
24,tx,high,2017,4.0882160762516975,2.9090245072086987
33,tx,high,2018,6.148717904680119,9.057742411888817
42,tx,high,2019,5.343530440747735,14.401272852636552
51,tx,high,2021,-33.319825993115025,-18.918553140478473
7,tx,low,2015,,-5.313473710467164
16,tx,low,2016,4.612322768039135,-0.7011509424280291
25,tx,low,2017,1.213370320855617,0.5122193784275879
34,tx,low,2018,3.3961179433990196,3.9083373218266075
43,tx,low,2019,2.1566124873559573,6.064949809182565
52,tx,low,2021,-10.535831665724103,-4.4708818565415385
8,tx,mid,2015,,-5.690968187926252
17,tx,mid,2016,4.055497231866511,-1.6354709560597414
26,tx,mid,2017,3.8150676450603953,2.179596689000654
35,tx,mid,2018,3.654479700762998,5.834076389763652
44,tx,mid,2019,2.854582815244008,8.68865920500766
53,tx,mid,2021,-18.064552344793647,-9.375893139785987
